,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1977.0,81.0,23.0,0.0,131.0
1,1946.0,119.0,54.0,1.0,250.0
2,1883.0,145.0,117.0,2.0,395.0
3,1820.0,198.0,180.0,3.0,593.0
4,1722.0,213.0,278.0,4.0,806.0
5,1620.0,210.0,380.0,5.0,1016.0
6,1516.0,169.0,484.0,6.0,1185.0
7,1429.0,127.0,571.0,7.0,1312.0
8,1365.0,83.0,635.0,8.0,1395.0
9,1328.0,50.0,672.0,9.0,1445.0
10,1301.0,23.0,699.0,10.0,1468.0
11,1291.0,6.0,709.0,11.0,1474.0
12,1289.0,3.0,711.0,12.0,1477.0
13,1287.0,1.0,713.0,13.0,1478.0
14,1287.0,1.0,713.0,14.0,1479.0
15,1286.0,2.0,714.0,15.0,1481.0
16,1286.0,3.0,714.0,16.0,1484.0
17,1284.0,0.0,716.0,17.0,1484.0
18,1284.0,0.0,716.0,18.0,1484.0
19,1284.0,0.0,716.0,19.0,1484.0
20,1284.0,0.0,716.0,20.0,1484.0
